customer_id,community_id
3392,11
1,11
4537,11
2388,11
1646,11
108,11
2341,11
430,11
434,11
1418,11
3211,11
1608,11
4305,11
2017,11
508,11
1461,11
3840,11
1663,11
1519,11
1351,11
4001,11
2538,11
1652,11
3545,11
3772,11
1746,11
4023,11
4496,11
167,11
1713,11
752,11
105,11
781,11
3695,11
91,11
4321,11
3077,11
4277,11
2522,11
2532,11
2237,11
1420,11
3167,11
4505,11
1693,11
4016,11
736,11
3793,11
1923,11
994,11
2454,11
3859,11
4831,11
2319,11
987,11
1986,11
2158,11
3865,11
1178,11
4967,11
4712,11
4059,11
2638,11
4908,11
1014,11
3714,11
1919,11
702,11
2999,11
1872,11
4914,11
864,11
2279,11
3838,11
3969,11
725,11
3661,11
1414,11
2819,11
4796,11
3256,11
1393,11
4003,11
295,11
1267,11
2112,11
588,11
4427,11
699,11
4617,11
801,11
307,11
3641,11
4649,11
865,11
2445,11
2895,11
4406,11
3569,11
3172,11
2,11
3395,26
2902,26
4269,26
1925,26
1231,26
3744,26
4731,26
1638,26
1089,26
4329,26
1521,26
198,26
1955,26
210,26
2358,26
4272,26
1869,26
3268,26
4282,26
1018,26
3002,26
1296,26
3226,26
1643,26
3278,26
1730,26
4157,26
3332,26
4521,26
2300,26
1586,26
2381,26
1888,26
2603,26
1814,26
937,26
168,26
1247,26
4015,26
1072,26
4344,26
4173,26
1787,26
1972,26
3377,26
4851,26
4820,26
4221,26
3,26
1323,7
2270,7
1893,7
2876,7
1971,7
3881,7
4644,7
6,7
4340,7
4108,7
2335,7
1760,7
4281,7
4756,7
1742,7
1241,7
3666,7
4770,7
2841,7
4816,7
1968,7
1967,7
3388,7
4623,7
659,7
3603,7
4306,7
4767,7
4345,7
1049,7
1769,7
4797,7
352,7
4369,7
4397,7
3692,7
1076,7
2065,7
770,7
2620,7
2197,7
26,7
688,7
237,7
4751,7
986,7
2396,7
1389,7
3393,7
1336,7
131,7
4925,7
3511,7
4247,7
3696,7
1028,7
717,7
2883,4
4261,4
4429,4
4441,4
1182,4
3317,4
862,4
3409,4
1472,4
4096,4
2398,4
69,4
2517,4
4181,4
4361,4
2673,4
2983,4
190,4
1947,4
4929,4
2618,4
1525,4
788,4
3136,4
1571,4
4968,4
3651,4
1144,4
4066,4
4333,4
4727,4
500,4
1032,4
3415,4
3310,4
4324,4
4102,4
4626,4
4877,4
1252,4
3081,4
253,4
3776,4
449,4
3525,4
7,4
959,26
472,26
1289,26
4832,26
3061,26
748,26
3021,26
2992,26
4615,26
446,26
1547,26
3487,26
8,26
12,26
1339,26
4763,26
2241,26
1743,26
1909,26
211,26
1954,26
3516,26
1427,26
4612,26
3720,26
2839,26
3827,26
2658,26
1108,26
3235,26
4090,26
2542,26
271,26
